,SettlementPoint,Year,Month,AveragePrice
222,HB_SOUTH,2018,11,29.849318497913764
223,HB_SOUTH,2018,12,30.1092866756393
224,HB_SOUTH,2019,01,25.092449528936747
225,HB_SOUTH,2019,02,22.125961251862893
226,HB_SOUTH,2019,03,27.146549865229108
227,HB_SOUTH,2019,04,22.46367176634214
228,HB_SOUTH,2019,05,24.062153432032297
229,HB_SOUTH,2019,06,23.908692628650908
230,HB_SOUTH,2019,07,29.659125168236883
231,HB_SOUTH,2019,08,126.08518169582774
232,HB_SOUTH,2019,09,78.9894993045897
233,HB_SOUTH,2019,10,29.48349932705249
234,HB_SOUTH,2019,11,23.728191933240613
235,HB_WEST,2016,01,19.040766644250166
236,HB_WEST,2016,02,14.996230215827337
237,HB_WEST,2016,03,15.883396226415094
238,HB_WEST,2016,04,16.86673157162726
239,HB_WEST,2016,05,17.344576043068642
240,HB_WEST,2016,06,23.153059805285118
241,HB_WEST,2016,07,26.553257065948856
242,HB_WEST,2016,08,29.803378196500677
243,HB_WEST,2016,09,26.364130737134907
244,HB_WEST,2016,10,24.120726783310904
245,HB_WEST,2016,11,18.787955493741308
246,HB_WEST,2016,12,24.871413189771197
247,HB_WEST,2017,01,21.89993270524899
248,HB_WEST,2017,02,17.625126676602086
249,HB_WEST,2017,03,19.836051212938006
250,HB_WEST,2017,04,20.011780250347705
251,HB_WEST,2017,05,22.16975773889636
252,HB_WEST,2017,06,25.33706536856745
253,HB_WEST,2017,07,30.299286675639298
254,HB_WEST,2017,08,26.824912516823687
255,HB_WEST,2017,09,22.68460361613352
256,HB_WEST,2017,10,21.69686406460296
257,HB_WEST,2017,11,21.007719054242003
258,HB_WEST,2017,12,20.341776581426647
259,HB_WEST,2018,01,36.063135935397035
260,HB_WEST,2018,02,21.100238450074517
261,HB_WEST,2018,03,20.349460916442048
262,HB_WEST,2018,04,17.161390820584145
263,HB_WEST,2018,05,27.729596231493943
264,HB_WEST,2018,06,28.292322670375523
265,HB_WEST,2018,07,78.59201884253028
